,Unnamed: 0,woodyrip_class,pointid,near_woody
294,294,Quercus lobata,748753,914.4605770410001
295,295,Quercus lobata,748754,938.873580945
296,296,Quercus lobata,748755,963.602124823
297,297,Quercus lobata,748756,988.622531082
298,298,Quercus lobata,748757,1013.91319303
299,299,Quercus lobata,748758,1039.45438426
300,300,Quercus lobata,748759,1065.22808401
301,301,Quercus lobata,748760,1091.2178174
302,302,Quercus lobata,748761,1117.40851033
303,303,Quercus lobata,748762,1143.78635809
304,304,Quercus lobata,748763,1170.33870611
305,305,Quercus lobata,748764,1197.05394238
306,306,Quercus lobata,748765,1223.92140065
307,307,Quercus lobata,748766,1250.9312727
308,308,Quercus lobata,748767,1278.0745295
309,309,Quercus lobata,748768,1305.34285035
310,310,Quercus lobata,748869,861.880671885
311,311,Quercus lobata,748870,885.639468967
312,312,Quercus lobata,748871,908.846919433
313,313,Quercus lobata,748872,932.44205019
314,314,Quercus lobata,748873,956.396168435
315,315,Quercus lobata,748874,980.6829686310001
316,316,Quercus lobata,748875,1005.27833905
317,317,Quercus lobata,748876,1030.16017832
318,318,Quercus lobata,748877,1055.30822368
319,319,Quercus lobata,748878,1080.70389143
320,320,Quercus lobata,748879,1106.3301293
321,321,Quercus lobata,748880,1132.17128075
322,322,Quercus lobata,748881,1158.21296097
323,323,Quercus lobata,748882,1184.44194328
324,324,Quercus lobata,748883,1210.84605585
325,325,Quercus lobata,748884,1237.41408791
326,326,Quercus lobata,748885,1264.13570435
327,327,Quercus lobata,748886,1291.0013683
328,328,Quercus lobata,748887,1318.00227123
329,329,Quercus lobata,748888,1345.13026916
330,330,Quercus lobata,748889,1372.37782515
331,331,Quercus lobata,748989,903.971069559
332,332,Quercus lobata,748990,927.809336323
333,333,Quercus lobata,748991,951.03007679
334,334,Quercus lobata,748992,974.527403922
335,335,Quercus lobata,748993,998.373234297
336,336,Quercus lobata,748994,1022.54318684
337,337,Quercus lobata,748995,1047.01481508
338,338,Quercus lobata,748996,1071.7674547
339,339,Quercus lobata,748997,1096.78207998
340,340,Quercus lobata,748998,1122.04116903
341,341,Quercus lobata,748999,1147.52857871
342,342,Quercus lobata,749000,1173.22942895
343,343,Quercus lobata,749001,1199.12999587
344,344,Quercus lobata,749002,1225.21761372
345,345,Quercus lobata,749003,1251.48058513
