cwhr_id,whr13_code,habitat_suitability
R061,1,0.594545454545455
M110,1,0.66
M039,9,0.22
M050,4,0.663333333333333
B282,6,0.146666666666667
B234,5,0.666666666666667
B279,5,1
M085,1037,1
M138,1,0.66
M051,1040,0.773333333333333
B113,3,0.11
B337,11,0.855714285714286
B127,2,0.85
M124,1039,0.886666666666667
B123,2,0.776666666666667
R049,1,0.474375
B114,11,0.276571428571429
M134,1052,0.33
M160,11,0.855714285714286
B461,13,0.44
B509,13,0.22
B131,13,0.22
R078,6,1
M154,6,0.333333333333333
B524,1039,0.663333333333333
M022,5,0.666666666666667
M099,12,1
R039,1052,0.33
R059,2,0.83
B143,9,0.184444444444444
B289,1,0.871287878787879
B334,13,0.22
M028,1063,0.22
M105,1063,0.33
B320,13,0.666666666666667
A002,1,0.703416666666667
M234,13,1
B699,11,0.704583333333333
B504,8,0.66
B407,2,0.33
B366,5,1
B170,5,0.666666666666667
B702,11,0.311142857142857
B342,1042,0.886666666666667
B126,4,0.69375
M146,1042,0.44
A043,4,0.275
A024,1,0.66
B298,8,0.44
R024,1037,0.33
B085,1052,0.44
B538,13,0.776666666666667
B321,1023,0.495
R005,5,0.33
R054,4,0.776666666666667
M050,3,0.44
R074,3,0.33
A028,1042,0.33
M133,3,0.773333333333333
B119,11,0.948666666666667
M028,5,0.666666666666667
M014,4,0.66
B428,12,0.61
A045,1039,0.33
B521,1052,0.33
M152,2,0.886666666666667
B494,1023,0.495
M113,2,0.663333333333333
M117,1042,0.33
R004,6,0.83
M025,2,0.773333333333333
B391,2,0.275
B181,9,0.386666666666667
B506,1039,0.22
B074,3,0.333333333333333
R040,13,0.33
B307,1034,0.333333333333333
M135,1040,0.773333333333333
M081,8,1
R061,9,0.44
B303,8,0.22
B393,8,0.33
A023,5,0.66
M039,1,0.170347222222222
A013,12,0.33
B133,1052,0.773333333333333
B087,1052,0.44
M107,3,0.66
B408,1,0.22
B543,1063,0.551666666666667
M106,12,0.66
M127,4,0.866
B417,4,0.256666666666667
B051,13,0.666666666666667
B059,2,0.443333333333333
B172,1052,0.22
M157,1023,0.44
B043,3,0.666666666666667
A004,1,0.765050505050505
B251,1049,0.666666666666667
B407,13,0.22
A016,6,0.33
B382,11,0.294444444444444
R062,1,0.790769230769231
B125,1023,0.275
R005,12,0.7475
B341,1023,0.265333333333333
B334,2,0.44
A033,1,0.44
M036,1,0.15640625
B333,4,0.345714285714286
R080,6,1
M031,8,0.22
B320,2,1
B349,4,0.22
B065,1040,0.553333333333333
B538,2,0.33
B366,12,0.915
B506,6,0.72
B326,8,0.66
A045,6,0.55
B542,1063,0.33
B131,2,0.665555555555556
B509,2,0.22
B461,2,1
M022,12,0.525
B127,13,0.924444444444445
B123,13,0.737777777777778
M006,1023,0.33
B108,11,0.951428571428571
B176,3,0.11
B520,1052,0.333333333333333
M084,1034,1
B281,1063,0.11
B287,1043,0.55
B702,1063,0.11
A038,12,0.33
B499,1034,0.66
M134,1043,0.33
B344,4,0.793888888888889
B323,1052,0.44
M113,1023,0.752666666666667
R065,13,0.495
M025,1023,0.11
M016,1037,0.33
B385,6,0.11
M061,11,0.66
M060,8,0.66
M073,3,0.22
B368,2,0.665
B702,5,1
R057,11,0.932
B301,12,0.831666666666667
M116,1,0.813
B341,13,1
M085,8,0.33
M029,11,0.581904761904762
M106,5,0.33
A046,4,0.66
M017,1,0.55
B505,6,1
B534,5,1
M137,3,0.773333333333333
B075,9,0.404444444444444
B264,8,0.385
B119,1063,0.553333333333333
R079,1023,0.55
B386,13,0.293333333333333
M124,6,0.33
B489,6,0.333333333333333
M005,2,1
M078,1049,0.11
M103,1,0.37125
A012,6,0.33
B133,1043,0.66
B460,4,0.33
B132,12,0.915
B524,6,0.775
B170,11,1
B051,2,0.553333333333333
B059,13,0.666666666666667
A013,5,0.22
B799,4,0.22
B366,11,0.649047619047619
B321,2,0.665
B354,4,0.665416666666667
B499,3,0.886666666666667
B105,6,0.441666666666667
B199,9,0.183333333333333
B127,1023,0.599333333333333
B123,1023,0.385
B129,1,0.813214990138067
B302,11,0.891333333333333
M165,4,0.691666666666667
M028,12,0.915
M032,4,0.614285714285714
B543,11,0.903809523809524
M027,1,0.715102040816327
A049,11,1
R010,13,0.44
M181,1034,0.443333333333333
M034,4,0.11
B176,1034,0.44
M084,3,1
B467,13,1
R052,12,0.66
B353,11,0.91
M010,11,0.33
B291,8,0.553333333333333
A032,6,0.66
B337,5,0.666666666666667
R024,8,0.66
R065,1023,1
B256,1023,0.703333333333333
M113,13,0.66
A068,2,0.33
B522,1052,0.33
M025,13,0.11
B248,3,0.666666666666667
A038,11,0.401190476190476
B351,1037,0.333333333333333
B070,9,0.368888888888889
R040,2,0.665
B519,3,1
A044,1,0.562222222222222
B140,1,0.6237
B338,2,0.888333333333333
B076,11,0.977333333333333
R012,1,0.33
B265,8,0.66
B053,8,0.22
B475,1063,0.66
B227,11,0.33
B339,1052,0.22
M023,1043,0.22
M160,5,0.66
B111,1,0.773333333333333
A039,9,1
B427,4,1
M145,4,0.348888888888889
B114,5,0.22
B121,1,0.454583333333333
B411,1052,0.44
B108,12,1
B274,1034,0.11
B495,1042,0.55
M152,13,0.83
B136,1,0.941714285714286
B275,11,0.694285714285715
M153,1037,0.22
R073,13,0.55
R013,13,0.33
R045,13,0.663333333333333
B091,6,1
B354,1034,0.333333333333333
B044,1052,0.22
M030,11,0.66
B344,3,1
M042,1,0.22
M124,1040,1
M034,1034,0.11
M051,1039,0.773333333333333
B279,11,0.28
B505,1040,0.22
M032,1034,0.22
B089,6,0.61
M181,4,0.775416666666667
M047,1,0.66
B512,1063,0.44
A022,11,0.784642857142857
B340,1037,0.22
R040,1042,0.66
A041,1,0.33
M161,1037,0.33
B137,6,1
A033,9,0.495
M036,9,0.11
A014,1023,0.33
M117,13,0.66
B115,12,0.44
B435,11,0.691904761904762
B495,2,0.66
M043,8,0.11
R051,1049,0.33
M145,1034,0.11
B274,4,0.22
B404,9,0.44
B009,1023,0.44
R071,1023,0.33
R058,1049,0.66
R062,9,0.44
B259,11,1
R056,11,0.33
B524,1040,0.663333333333333
B548,1052,0.33
B409,1,0.2376
B368,1042,0.22
B052,13,0.22
M076,1049,0.11
B150,9,0.553333333333333
M072,5,0.33
B269,1023,0.72
A032,1040,0.33
M171,6,0.11
R031,4,0.55
M121,8,0.83
B288,1063,0.55
B554,2,0.886666666666667
B343,12,0.66
B255,1,0.573727810650888
M070,11,0.33
B333,3,0.333333333333333
B342,1023,0.62
M021,4,0.141428571428571
B082,1037,0.33
R036,1049,0.33
B282,1039,0.11
B183,1023,0.555
M146,1023,0.462666666666667
B389,11,0.829809523809524
B321,1042,0.44
B799,1034,0.22
B080,1034,1
B072,1034,0.666666666666667
B394,4,0.886666666666667
B547,11,0.612857142857143
M145,3,0.22
M143,11,0.66
B509,1042,0.44
B131,1042,0.11
A037,12,0.33
M159,6,0.22
A028,1023,0.33
M162,1063,0.404444444444444
B519,4,0.66
R066,4,0.33
B168,1040,0.44
R063,1052,0.33
B215,6,0.591111111111111
B197,5,0.666666666666667
R064,6,1
B275,12,0.688333333333333
B418,4,0.22
B352,1043,0.22
M034,3,0.11
R056,12,0.745
M084,4,0.33
B506,1040,0.22
M151,1040,0.11
M165,3,0.256666666666667
M032,3,0.295555555555556
R071,13,0.66
B065,6,1
B292,11,0.878333333333333
B115,11,0.531238095238095
B138,1037,0.22
B380,8,0.44
B435,12,0.22
B471,11,0.682476190476191
R050,13,0.66
B077,2,0.33
M072,1063,0.66
B809,8,0.22
M091,4,0.44
M117,1023,0.528
B354,3,0.333333333333333
B499,4,0.495555555555556
M058,1,1
A045,1040,0.33
R022,11,0.941714285714286
B156,9,0.443333333333333
B344,1034,0.773333333333333
B343,11,0.866
R076,1023,0.33
B262,2,1
B080,3,1
B799,3,0.11
A039,1,0.581632653061225
M112,6,0.553333333333333
B072,3,0.666666666666667
B487,11,0.4675
B527,1034,0.333333333333333
