"Landcover_Class","EVT_Nick","EVC_Name","EVH_Name","SumCO2_ha","SumCO2total","Area_Ha","SumCO2_nonsoil","SumCO2_soil","SumCO2_emissions","OID","CO2e_nonsoil","CO2e_soil","N2O_emissions","CH4_emissions"
"Orchard","Orchard","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",103.87,28.04,0.27,16.92,11.65,-0.53,2221,62.68,43.15,-1.97,0.00
"Wetland","Wetland","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",62.60,16.90,0.27,2.97,14.93,-1.00,3638,11.01,55.30,0.00,-3.70
"Irrigated Pasture","Irrigated Pasture","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",52.52,4.72,0.09,0.99,3.95,-0.22,3955,11.01,43.96,-2.45,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",62.58,5.63,0.09,0.66,4.97,-5.39999987930059e-03,2645,7.34,55.30,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 20 and < 30%","Herb Height 0.5 to 1.0 meters",108.11,9.73,0.09,0.99,9.07,-0.33,6714,11.01,100.81,0.00,-3.70
"Orchard","Orchard","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",122.95,11.06,0.09,5.64,5.60,-0.17,6763,62.68,62.24,-1.97,0.00
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",81.06,21.88,0.27,2.97,19.91,-1.00,5917,11.01,73.76,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",84.81,15.26,0.18,1.98,13.95,-0.66,6210,11.01,77.51,0.00,-3.70
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",81.04,109.41,1.35,9.90,99.58,-0.08,7391,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",84.79,1182.82,13.95,102.39,1081.27,-0.83,893,7.34,77.51,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",84.79,20191.98,238.14,1747.94,18458.32,-14.28,213,7.34,77.51,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.58,112.65,1.80,13.21,99.55,-0.10,4147,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.58,168.98,2.70,19.81,149.32,-0.16,3645,7.34,55.30,-0.06,0.00
"Orchard","Orchard","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",122.55,485.31,3.96,248.22,244.88,-7.80,169,62.68,61.83,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",108.09,19.45,0.18,1.32,18.14,-0.01,3232,7.34,100.81,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",81.04,955.54,11.79,86.53,869.71,-0.70,3392,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",108.09,1887.33,17.46,128.15,1760.22,-1.04,3212,7.34,100.81,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.60,78.88,1.26,13.87,69.68,-4.67,5576,11.01,55.30,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",108.11,1002.24,9.27,102.06,934.55,-34.36,5636,11.01,100.81,0.00,-3.70
"Annual Cropland","Annual Cropland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",69.31,243.29,3.51,25.76,226.55,-9.02,5199,7.34,64.54,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.65,28.19,0.45,4.95,24.34,-1.10,5249,11.01,54.09,-2.45,0.00
"Orchard","Orchard","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",103.87,37.39,0.36,22.56,15.53,-0.70,5408,62.68,43.15,-1.97,0.00
"Annual Cropland","Annual Cropland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",50.65,41.02,0.81,5.94,37.16,-2.08,4229,7.34,45.88,-2.57,0.00
"Grassland","Grassland","Shrub Cover >= 30 and < 40%","Shrub Height > 3.0 meters",62.58,5.63,0.09,0.66,4.97,-5.39999987930059e-03,1006,7.34,55.30,-0.06,0.00
"Shrubland","Inter-Mountain Basins Montane Riparian Shrubland","Shrub Cover >= 30 and < 40%","Shrub Height > 3.0 meters",290.78,78.51,0.27,63.57,14.93,0.00,2358,235.47,55.30,0.00,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",122.95,210.25,1.71,107.18,106.43,-3.36,7347,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",122.55,650.75,5.31,332.84,328.36,-10.46,6380,62.68,61.83,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",81.04,7.29,0.09,0.66,6.63,-5.39999987930059e-03,7385,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",84.79,22.89,0.27,1.98,20.92,-0.01,6426,7.34,77.51,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",122.55,55.14,0.45,28.20,27.82,-0.88,7524,62.68,61.83,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",103.87,28.04,0.27,16.92,11.65,-0.53,1905,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",103.87,37.39,0.36,22.56,15.53,-0.70,2012,62.68,43.15,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",62.58,5.63,0.09,0.66,4.97,-5.39999987930059e-03,2023,7.34,55.30,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",103.87,18.69,0.18,11.28,7.76,-0.35,2194,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 10 and < 20%","Forest Height 10 to 25 meters",103.87,18.69,0.18,11.28,7.76,-0.35,2109,62.68,43.15,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 10 and < 20%","Forest Height 10 to 25 meters",122.95,55.33,0.45,28.20,28.00,-0.88,1671,62.68,62.24,-1.97,0.00
"Orchard","Orchard","Tree Cover >= 10 and < 20%","Forest Height 10 to 25 meters",103.87,9.34,0.09,5.64,3.88,-0.17,2141,62.68,43.15,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 10 to 25 meters",81.04,7.29,0.09,0.66,6.63,-5.39999987930059e-03,1812,7.34,73.76,-0.06,0.00
"Grassland","Grassland","Tree Cover >= 10 and < 20%","Forest Height 10 to 25 meters",62.58,5.63,0.09,0.66,4.97,-5.39999987930059e-03,2074,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Shrub Cover >= 10 and < 20%","Shrub Height 1.0 to 3.0 meters",81.04,7.29,0.09,0.66,6.63,-5.39999987930059e-03,3907,7.34,73.76,-0.06,0.00
"Shrubland","Inter-Mountain Basins Montane Riparian Shrubland","Shrub Cover >= 40 and < 50%","Shrub Height > 3.0 meters",290.78,26.17,0.09,21.19,4.97,0.00,2363,235.47,55.30,0.00,0.00
"Urban","Western Cool Temperate Developed Ruderal Deciduous Forest","Tree Cover >= 10 and < 20%","Forest Height 10 to 25 meters",84.66,15.24,0.18,5.28,9.95,0.00,1940,29.36,55.30,0.00,0.00
"Wetland","Wetland","NASS-Vineyard","NASS-Vineyard",108.11,38.92,0.36,3.96,36.29,-1.33,6415,11.01,100.81,0.00,-3.70
"Vineyard","Vineyard","NASS-Vineyard","NASS-Vineyard",52.89,9.52,0.18,1.91,7.76,-0.16,7341,10.64,43.15,-0.91,0.00
"Wetland","Wetland","NASS-Vineyard","NASS-Vineyard",84.81,15.26,0.18,1.98,13.95,-0.66,6749,11.01,77.51,0.00,-3.70
"Vineyard","Vineyard","NASS-Vineyard","NASS-Vineyard",71.57,57.97,0.81,8.62,50.08,-0.73,1620,10.64,61.83,-0.91,0.00
"Wetland","Wetland","NASS-Vineyard","NASS-Vineyard",62.60,5.63,0.09,0.99,4.97,-0.33,1853,11.01,55.30,0.00,-3.70
"Irrigated Pasture","Irrigated Pasture","NASS-Vineyard","NASS-Vineyard",62.65,11.27,0.18,1.98,9.73,-0.44,2185,11.01,54.09,-2.45,0.00
"Vineyard","Vineyard","NASS-Vineyard","NASS-Vineyard",52.89,80.92,1.53,16.28,66.03,-1.39,1706,10.64,43.15,-0.91,0.00
"Vineyard","Vineyard","NASS-Vineyard","NASS-Vineyard",88.05,47.54,0.54,5.74,42.29,-0.49,1594,10.64,78.31,-0.91,0.00
"Vineyard","Vineyard","NASS-Vineyard","NASS-Vineyard",71.97,116.60,1.62,17.24,100.83,-1.47,1742,10.64,62.24,-0.91,0.00
"Grassland","Grassland","NASS-Vineyard","NASS-Vineyard",81.04,14.58,0.18,1.32,13.27,-0.01,2228,7.34,73.76,-0.06,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Vineyard","NASS-Vineyard",45.77,4.11,0.09,0.99,3.34,-0.22,2276,11.01,37.21,-2.45,0.00
"Orchard","Orchard","NASS-Vineyard","NASS-Vineyard",122.95,22.13,0.18,11.28,11.20,-0.35,2274,62.68,62.24,-1.97,0.00
"Orchard","Orchard","NASS-Vineyard","NASS-Vineyard",122.55,121.32,0.99,62.05,61.22,-1.95,377,62.68,61.83,-1.97,0.00
"Orchard","Orchard","NASS-Vineyard","NASS-Vineyard",103.87,37.39,0.36,22.56,15.53,-0.70,1868,62.68,43.15,-1.97,0.00
"Annual Cropland","Annual Cropland","NASS-Vineyard","NASS-Vineyard",85.77,7.71,0.09,0.66,7.29,-0.23,1789,7.34,81.00,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Vineyard","NASS-Vineyard",52.52,42.54,0.81,8.91,35.61,-1.98,1573,11.01,43.96,-2.45,0.00
"Grassland","Grassland","NASS-Vineyard","NASS-Vineyard",84.79,30.52,0.36,2.64,27.90,-0.02,2357,7.34,77.51,-0.06,0.00
"Orchard","Orchard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",103.87,9.34,0.09,5.64,3.88,-0.17,1971,62.68,43.15,-1.97,0.00
"Grassland","Grassland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",62.58,5.63,0.09,0.66,4.97,-5.39999987930059e-03,1994,7.34,55.30,-0.06,0.00
"Vineyard","Vineyard","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",52.89,9.52,0.18,1.91,7.76,-0.16,3439,10.64,43.15,-0.91,0.00
"Annual Cropland","Western Warm Temperate Developed Ruderal Deciduous Forest","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",69.71,6.27,0.09,0.66,5.84,-0.23,5424,7.34,64.94,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",69.31,6.23,0.09,0.66,5.80,-0.23,6479,7.34,64.54,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",69.71,12.54,0.18,1.32,11.69,-0.46,2296,7.34,64.94,-2.57,0.00
"Grassland","Grassland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",84.79,30.52,0.36,2.64,27.90,-0.02,40,7.34,77.51,-0.06,0.00
"Annual Cropland","Western Warm Temperate Developed Ruderal Mixed Forest","Tree Cover >= 30 and < 40%","Forest Height 5 to 10 meters",69.31,12.47,0.18,1.32,11.61,-0.46,7260,7.34,64.54,-2.57,0.00
"Grassland","Grassland","Herb Cover >= 30 and < 40%","Herb Height 0 to 0.5 meters",84.79,68.68,0.81,5.94,62.78,-0.04,3658,7.34,77.51,-0.06,0.00
"Urban","Western Cool Temperate Developed Ruderal Deciduous Forest","Tree Cover >= 20 and < 30%","Forest Height 10 to 25 meters",84.66,15.24,0.18,5.28,9.95,0.00,1951,29.36,55.30,0.00,0.00
"Shrubland","California Xeric Serpentine Chaparral","Shrub Cover >= 60 and < 70%","Shrub Height 0 to 0.5 meters",81.82,1620.08,19.80,85.38,1534.70,0.00,7688,4.31,77.51,0.00,0.00
"Shrubland","California Xeric Serpentine Chaparral","Shrub Cover >= 70 and < 80%","Shrub Height 0 to 0.5 meters",81.82,29.45,0.36,1.55,27.90,0.00,7694,4.31,77.51,0.00,0.00
"Grassland","Grassland","Shrub Cover >= 70 and < 80%","Shrub Height 0 to 0.5 meters",84.79,15.26,0.18,1.32,13.95,-0.01,2581,7.34,77.51,-0.06,0.00
"Forest","Great Basin Pinyon-Juniper Woodland","Tree Cover >= 40 and < 50%","Forest Height 10 to 25 meters",488.42,43.95,0.09,36.98,6.97,0.00,7598,410.91,77.51,0.00,0.00
"Orchard","Orchard","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",122.55,187.50,1.53,95.90,94.61,-3.01,473,62.68,61.83,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",62.58,22.53,0.36,2.64,19.91,-0.02,1862,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",62.58,28.16,0.45,3.30,24.88,-0.02,1878,7.34,55.30,-0.06,0.00
"Orchard","Orchard","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",139.03,12.51,0.09,5.64,7.04,-0.17,1041,62.68,78.31,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0.5 to 1.0 meters",81.04,14.58,0.18,1.32,13.27,-0.01,2744,7.34,73.76,-0.06,0.00
"Annual Cropland","Annual Cropland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",69.31,6.23,0.09,0.66,5.80,-0.23,7644,7.34,64.54,-2.57,0.00
"Wetland","Wetland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",84.81,76.33,0.90,9.90,69.75,-3.33,5653,11.01,77.51,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",108.11,613.02,5.67,62.42,571.62,-21.02,5767,11.01,100.81,0.00,-3.70
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",108.09,48.64,0.45,3.30,45.36,-0.02,2311,7.34,100.81,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",62.58,107.02,1.71,12.55,94.57,-0.10,1924,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",81.04,7.29,0.09,0.66,6.63,-5.39999987930059e-03,2310,7.34,73.76,-0.06,0.00
"Orchard","Orchard","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",122.55,2713.32,22.14,1387.81,1369.12,-43.61,327,62.68,61.83,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",62.58,78.85,1.26,9.24,69.68,-0.07,1842,7.34,55.30,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",108.09,972.85,9.00,66.06,907.33,-0.53,2155,7.34,100.81,-0.06,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",84.79,335.76,3.96,29.06,306.94,-0.23,820,7.34,77.51,-0.06,0.00
"Urban","Developed","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",106.87,9.61,0.09,2.64,6.97,0.00,2170,29.36,77.51,0.00,0.00
"Orchard","Orchard","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",139.03,75.07,0.54,33.84,42.29,-1.06,435,62.68,78.31,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",62.58,22.53,0.36,2.64,19.91,-0.02,2156,7.34,55.30,-0.06,0.00
"Orchard","Orchard","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",103.87,18.69,0.18,11.28,7.76,-0.35,2283,62.68,43.15,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",84.79,30.52,0.36,2.64,27.90,-0.02,468,7.34,77.51,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",62.60,16.90,0.27,2.97,14.93,-1.00,4538,11.01,55.30,0.00,-3.70
"Annual Cropland","Annual Cropland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",85.77,7.71,0.09,0.66,7.29,-0.23,2372,7.34,81.00,-2.57,0.00
"Grassland","Grassland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",81.04,36.47,0.45,3.30,33.19,-0.02,2556,7.34,73.76,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",62.60,11.26,0.18,1.98,9.95,-0.66,4672,11.01,55.30,0.00,-3.70
"Annual Cropland","Annual Cropland","Herb Cover >= 10 and < 20%","Herb Height 0 to 0.5 meters",50.65,9.11,0.18,1.32,8.25,-0.46,2420,7.34,45.88,-2.57,0.00
"Forest","Great Basin Pinyon-Juniper Woodland","Tree Cover >= 50 and < 60%","Forest Height 10 to 25 meters",508.15,45.73,0.09,38.75,6.97,0.00,7599,430.64,77.51,0.00,0.00
"Urban","Developed","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",103.12,18.56,0.18,5.28,13.27,0.00,7012,29.36,73.76,0.00,0.00
"Rice","Rice","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",63.55,34.32,0.54,1.98,34.85,-2.51,6400,3.67,64.54,-0.28,-4.37
"Rice","Rice","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",80.02,21.60,0.27,0.99,21.87,-1.25,7052,3.67,81.00,-0.28,-4.37
"Orchard","Orchard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",122.95,2899.32,23.58,1478.07,1467.69,-46.45,2132,62.68,62.24,-1.97,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",69.71,50.19,0.72,5.28,46.76,-1.85,2259,7.34,64.94,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",69.31,648.79,9.36,68.70,604.14,-24.05,31,7.34,64.54,-2.57,0.00
"Grassland","Grassland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",108.09,1498.19,13.86,101.73,1397.29,-0.83,186,7.34,100.81,-0.06,0.00
"Vineyard","Vineyard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",52.89,180.89,3.42,36.39,147.60,-3.11,3409,10.64,43.15,-0.91,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",50.65,223.38,4.41,32.36,202.34,-11.33,3432,7.34,45.88,-2.57,0.00
"Orchard","Orchard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",103.87,355.24,3.42,214.37,147.60,-6.73,2133,62.68,43.15,-1.97,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",69.31,367630.48,5303.70,38929.15,342331.83,-13630.50,1121,7.34,64.54,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",50.65,43158.92,852.03,6253.90,39094.74,-2189.71,1183,7.34,45.88,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",69.71,15787.20,226.44,1662.06,14707.08,-581.95,2262,7.34,64.94,-2.57,0.00
"Grassland","Grassland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",84.79,9386.29,110.70,812.53,8580.40,-6.64,26,7.34,77.51,-0.06,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",52.52,1011.66,19.26,212.05,846.79,-47.18,932,11.01,43.96,-2.45,0.00
"Urban","Developed","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",106.87,1115.72,10.44,306.51,809.20,0.00,2091,29.36,77.51,0.00,0.00
"Grassland","Grassland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",62.58,16.89,0.27,1.98,14.93,-0.01,4125,7.34,55.30,-0.06,0.00
"Grassland","Grassland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",62.58,2484.07,39.69,291.32,2195.13,-2.38,374,7.34,55.30,-0.06,0.00
"Orchard","Orchard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",122.55,51442.88,419.76,26312.06,25957.74,-826.92,401,62.68,61.83,-1.97,0.00
"Vineyard","Vineyard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",88.05,71.32,0.81,8.62,63.43,-0.73,3319,10.64,78.31,-0.91,0.00
"Vineyard","Vineyard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",71.97,25.91,0.36,3.83,22.40,-0.32,3371,10.64,62.24,-0.91,0.00
"Orchard","Orchard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",103.87,22960.04,221.04,13855.58,9539.90,-435.44,3064,62.68,43.15,-1.97,0.00
"Wetland","Wetland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",108.11,1547.15,14.31,157.55,1442.66,-53.05,3794,11.01,100.81,0.00,-3.70
"Wetland","Wetland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",81.06,80.25,0.99,10.89,73.02,-3.67,4260,11.01,73.76,0.00,-3.70
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",62.65,3033.79,48.42,533.10,2619.31,-118.62,2594,11.01,54.09,-2.45,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",76.63,738.02,9.63,106.02,655.59,-23.59,3656,11.01,68.07,-2.45,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",45.77,4.11,0.09,0.99,3.34,-0.22,5507,11.01,37.21,-2.45,0.00
"Urban","Developed","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",84.66,213.36,2.52,73.98,139.37,0.00,3857,29.36,55.30,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",45.77,1132.90,24.75,272.49,921.04,-60.63,2656,11.01,37.21,-2.45,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",85.77,54.03,0.63,4.62,51.03,-1.61,3104,7.34,81.00,-2.57,0.00
"Vineyard","Vineyard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",71.57,103.06,1.44,15.32,89.04,-1.31,2476,10.64,61.83,-0.91,0.00
"Wetland","Wetland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",84.81,1381.60,16.29,179.35,1262.64,-60.39,4375,11.01,77.51,0.00,-3.70
"Urban","Developed","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",130.17,246.03,1.89,55.49,190.54,0.00,3935,29.36,100.81,0.00,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",50.65,141.32,2.79,20.47,128.01,-7.17,2861,7.34,45.88,-2.57,0.00
"Orchard","Orchard","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",139.03,21096.62,151.74,9511.60,11883.94,-298.92,2746,62.68,78.31,-1.97,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",85.77,152709.13,1780.29,13067.32,144217.15,-4575.34,2629,7.34,81.00,-2.57,0.00
"Wetland","Wetland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",62.60,22.53,0.36,3.96,19.91,-1.33,3956,11.01,55.30,0.00,-3.70
"Grassland","Grassland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",81.04,408.47,5.04,36.99,371.78,-0.30,2356,7.34,73.76,-0.06,0.00
"Wetland","Wetland","NASS-Row Crop-Close Grown Crop","NASS-Row Crop-Close Grown Crop",62.60,687.45,10.98,120.88,607.26,-40.70,3873,11.01,55.30,0.00,-3.70
"Annual Cropland","Western Warm Temperate Developed Ruderal Deciduous Forest","Tree Cover >= 40 and < 50%","Forest Height 5 to 10 meters",50.65,9.11,0.18,1.32,8.25,-0.46,3675,7.34,45.88,-2.57,0.00
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.60,208.48,3.33,36.66,184.17,-12.34,6018,11.01,55.30,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",108.11,9.73,0.09,0.99,9.07,-0.33,6917,11.01,100.81,0.00,-3.70
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",84.79,53.41,0.63,4.62,48.83,-0.03,6002,7.34,77.51,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",84.81,328.22,3.87,42.60,299.96,-14.34,6001,11.01,77.51,0.00,-3.70
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.58,16.89,0.27,1.98,14.93,-0.01,6096,7.34,55.30,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.60,5.63,0.09,0.99,4.97,-0.33,6108,11.01,55.30,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",81.06,14.59,0.18,1.98,13.27,-0.66,5738,11.01,73.76,0.00,-3.70
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",62.60,11.26,0.18,1.98,9.95,-0.66,7290,11.01,55.30,0.00,-3.70
"Grassland","Grassland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",108.09,350.22,3.24,23.78,326.64,-0.19,5552,7.34,100.81,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 40 and < 50%","Herb Height 0.5 to 1.0 meters",108.11,3259.73,30.15,331.95,3039.56,-111.78,4688,11.01,100.81,0.00,-3.70
