"Landcover_Class","EVT_Nick","EVC_Name","EVH_Name","SumCO2_ha","SumCO2total","Area_Ha","SumCO2_nonsoil","SumCO2_soil","SumCO2_emissions","OID","CO2e_nonsoil","CO2e_soil","N2O_emissions","CH4_emissions"
"Irrigated Pasture","Irrigated Pasture","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",45.77,135.94,2.97,32.69,110.52,-7.27,4005,11.01,37.21,-2.45,0.00
"Urban","Urban","Developed-Upland Herbaceous","Developed-Upland Herbaceous",84.66,9875.54,116.64,3424.55,6450.99,0.00,4819,29.36,55.30,0.00,0.00
"Urban","Developed","Developed-Upland Herbaceous","Developed-Upland Herbaceous",84.66,4975.87,58.77,1725.48,3250.38,0.00,2671,29.36,55.30,0.00,0.00
"Urban","Urban","Developed-Upland Herbaceous","Developed-Upland Herbaceous",130.17,10673.04,81.99,2407.22,8265.81,0.00,4620,29.36,100.81,0.00,0.00
"Urban","Developed","Developed-Upland Herbaceous","Developed-Upland Herbaceous",84.66,76.20,0.90,26.42,49.77,0.00,290,29.36,55.30,0.00,0.00
"Urban","Developed","Developed-Upland Herbaceous","Developed-Upland Herbaceous",106.87,769.46,7.20,211.39,558.07,0.00,110,29.36,77.51,0.00,0.00
"Urban","Developed","Developed-Upland Herbaceous","Developed-Upland Herbaceous",103.12,259.88,2.52,73.98,185.89,0.00,684,29.36,73.76,0.00,0.00
"Irrigated Pasture","Irrigated Pasture","Developed-Upland Herbaceous","Developed-Upland Herbaceous",52.52,4.72,0.09,0.99,3.95,-0.22,1712,11.01,43.96,-2.45,0.00
"Grassland","Grassland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",84.79,442.60,5.22,38.31,404.60,-0.31,1529,7.34,77.51,-0.06,0.00
"Urban","Developed","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",106.87,19.23,0.18,5.28,13.95,0.00,3603,29.36,77.51,0.00,0.00
"Annual Cropland","Annual Cropland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",69.31,4267.08,61.56,451.85,3973.44,-158.20,1060,7.34,64.54,-2.57,0.00
"Annual Cropland","Annual Cropland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",85.77,5982.99,69.75,511.96,5650.28,-179.25,1138,7.34,81.00,-2.57,0.00
"Orchard","Orchard","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",122.55,970.62,7.92,496.45,489.76,-15.60,1512,62.68,61.83,-1.97,0.00
"Irrigated Pasture","Irrigated Pasture","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",62.65,2001.85,31.95,351.76,1728.36,-78.27,1145,11.01,54.09,-2.45,0.00
"Orchard","Orchard","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",103.87,626.35,6.03,377.98,260.24,-11.87,3348,62.68,43.15,-1.97,0.00
"Grassland","Grassland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",62.58,180.25,2.88,21.13,159.28,-0.17,3962,7.34,55.30,-0.06,0.00
"Wetland","Wetland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",62.60,185.94,2.97,32.69,164.26,-11.01,4661,11.01,55.30,0.00,-3.70
"Orchard","Orchard","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",139.03,250.25,1.80,112.83,140.97,-3.54,5164,62.68,78.31,-1.97,0.00
"Irrigated Pasture","Irrigated Pasture","Developed-Upland Herbaceous","Developed-Upland Herbaceous",62.65,16.91,0.27,2.97,14.60,-0.66,117,11.01,54.09,-2.45,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop","NASS-Row Crop",69.31,1116.67,16.11,118.24,1039.83,-41.40,7509,7.34,64.54,-2.57,0.00
"Wetland","Wetland","NASS-Row Crop","NASS-Row Crop",84.81,53.43,0.63,6.93,48.83,-2.33,6739,11.01,77.51,0.00,-3.70
"Grassland","Grassland","NASS-Row Crop","NASS-Row Crop",84.79,99.20,1.17,8.58,90.68,-0.07,743,7.34,77.51,-0.06,0.00
"Orchard","Orchard","NASS-Row Crop","NASS-Row Crop",122.55,88.23,0.72,45.13,44.52,-1.41,484,62.68,61.83,-1.97,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop","NASS-Row Crop",50.65,22.79,0.45,3.30,20.64,-1.15,1519,7.34,45.88,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop","NASS-Row Crop",62.65,140.97,2.25,24.77,121.71,-5.51,753,11.01,54.09,-2.45,0.00
"Orchard","Orchard","NASS-Row Crop","NASS-Row Crop",122.95,11.06,0.09,5.64,5.60,-0.17,2286,62.68,62.24,-1.97,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop","NASS-Row Crop",50.65,41.02,0.81,5.94,37.16,-2.08,1050,7.34,45.88,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop","NASS-Row Crop",69.31,87.33,1.26,9.24,81.32,-3.23,658,7.34,64.54,-2.57,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop","NASS-Row Crop",85.77,7.71,0.09,0.66,7.29,-0.23,772,7.34,81.00,-2.57,0.00
"Irrigated Pasture","Irrigated Pasture","NASS-Row Crop","NASS-Row Crop",52.52,9.45,0.18,1.98,7.91,-0.44,1598,11.01,43.96,-2.45,0.00
"Annual Cropland","Annual Cropland","NASS-Row Crop","NASS-Row Crop",69.71,37.64,0.54,3.96,35.07,-1.38,2376,7.34,64.94,-2.57,0.00
"Wetland","Wetland","NASS-Row Crop","NASS-Row Crop",108.11,68.11,0.63,6.93,63.51,-2.33,5592,11.01,100.81,0.00,-3.70
"Grassland","Grassland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",84.79,808.90,9.54,70.02,739.44,-0.57,6659,7.34,77.51,-0.06,0.00
"Rice","Rice","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",80.02,7.20,0.09,0.33,7.29,-0.41,7074,3.67,81.00,-0.28,-4.37
"Wetland","Wetland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",62.60,56.34,0.90,9.90,49.77,-3.33,6985,11.01,55.30,0.00,-3.70
"Annual Cropland","Annual Cropland","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",50.65,9.11,0.18,1.32,8.25,-0.46,7269,7.34,45.88,-2.57,0.00
"Urban","Developed","Herb Cover >= 30 and < 40%","Herb Height 0.5 to 1.0 meters",130.17,23.43,0.18,5.28,18.14,0.00,6544,29.36,100.81,0.00,0.00
