Landcover_Class,EVT_Nick,EVT_Name,SOC,total_mass,tot_Mass,N2O_emissions,CH4_emissions,gridcode01
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,162.83,2,-2.57,0,607
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,162.83,2,-2.57,0,1583
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,70.65,2,-2.57,0,1584
Annual Cropland,Annual Cropland,Quercus garryana Woodland Alliance,12.5,242.74,2,-2.57,0,2792
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,70.65,2,-2.57,0,1361
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.58,70.65,2,-2.57,0,1573
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,12.5,70.65,2,-2.57,0,1351
Annual Cropland,Annual Cropland,Northern and Central California Dry-Mesic Chaparral,17.69,70.65,2,-2.57,0,1374
Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Sagebrush Steppe,17.69,5.07,2,-2.57,0,1404
Annual Cropland,Annual Cropland,Inter-Mountain Basins Big Sagebrush Shrubland,12.5,3.79,2,-2.57,0,1410
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,11.34,2,-2.57,0,2502
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,11.34,2,-2.57,0,2099
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,11.34,2,-2.57,0,785
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,11.34,2,-2.57,0,1808
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,11.34,2,-2.57,0,3800
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,14.82,2,-2.57,0,1065
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,14.82,2,-2.57,0,3605
Annual Cropland,Annual Cropland,California Annual Grassland,22.07,14.82,2,-2.57,0,2110
Annual Cropland,Annual Cropland,California Annual Grassland,17.58,14.82,2,-2.57,0,793
Annual Cropland,Annual Cropland,California Annual Grassland,12.5,14.82,2,-2.57,0,2188
Annual Cropland,Annual Cropland,California Annual Grassland,17.69,14.82,2,-2.57,0,3250
Annual Cropland,Annual Cropland,California Mesic Chaparral,17.58,152.51,2,-2.57,0,2011
Annual Cropland,Annual Cropland,California Mesic Chaparral,12.5,152.51,2,-2.57,0,2310
