,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
111,111,111,111,Open Access,Carolo Gabriault Park,"Merced, City of",1745111,2177.56521337
112,112,112,112,Open Access,Carolo Gabriault Park,"Merced, City of",1745112,2148.3214444
113,113,113,113,Open Access,Carolo Gabriault Park,"Merced, City of",1745113,2119.09881754
114,114,114,114,Open Access,Carolo Gabriault Park,"Merced, City of",1745114,2089.89821965
115,115,115,115,Open Access,Carolo Gabriault Park,"Merced, City of",1745115,2060.72058719
116,116,116,116,Open Access,Carolo Gabriault Park,"Merced, City of",1745116,2031.56690968
117,117,117,117,Open Access,Carolo Gabriault Park,"Merced, City of",1745117,2002.43823338
118,118,118,118,Open Access,Carolo Gabriault Park,"Merced, City of",1745118,1973.33566544
119,119,119,119,Open Access,Carolo Gabriault Park,"Merced, City of",1745119,1944.26037826
120,120,120,120,Open Access,Carolo Gabriault Park,"Merced, City of",1745120,1915.21361432
121,121,121,121,Open Access,Carolo Gabriault Park,"Merced, City of",1745121,1886.19669136
122,122,122,122,Open Access,Carolo Gabriault Park,"Merced, City of",1745122,1857.21100807
123,123,123,123,Open Access,Carolo Gabriault Park,"Merced, City of",1745123,1828.2580503
124,124,124,124,Open Access,Carolo Gabriault Park,"Merced, City of",1745124,1799.3393978
125,125,125,125,Open Access,Carolo Gabriault Park,"Merced, City of",1745125,1770.45673161
126,126,126,126,Open Access,Carolo Gabriault Park,"Merced, City of",1745126,1741.61184208
127,127,127,127,Open Access,Carolo Gabriault Park,"Merced, City of",1745127,1712.8066377999999
128,128,128,128,Open Access,Carolo Gabriault Park,"Merced, City of",1745128,1684.04315517
129,129,129,129,Open Access,Carolo Gabriault Park,"Merced, City of",1745129,1655.32356912
130,130,130,130,Open Access,Carolo Gabriault Park,"Merced, City of",1745130,1626.65020471
131,131,131,131,Open Access,Carolo Gabriault Park,"Merced, City of",1745131,1598.02555001
132,132,132,132,Open Access,Carolo Gabriault Park,"Merced, City of",1745132,1569.45227022
133,133,133,133,Open Access,Carolo Gabriault Park,"Merced, City of",1745133,1540.93322324
134,134,134,134,Open Access,Carolo Gabriault Park,"Merced, City of",1745134,1512.47147692
135,135,135,135,Open Access,Carolo Gabriault Park,"Merced, City of",1745135,1484.07032801
136,136,136,136,Open Access,Carolo Gabriault Park,"Merced, City of",1745136,1455.73332327
137,137,137,137,Open Access,Carolo Gabriault Park,"Merced, City of",1745137,1427.46428274
138,138,138,138,Open Access,Carolo Gabriault Park,"Merced, City of",1745196,3443.29215061
139,139,139,139,Open Access,Carolo Gabriault Park,"Merced, City of",1745197,3413.55468749
140,140,140,140,Open Access,Carolo Gabriault Park,"Merced, City of",1745198,3383.82185915
141,141,141,141,Open Access,Carolo Gabriault Park,"Merced, City of",1745199,3354.09378886
142,142,142,142,Open Access,Carolo Gabriault Park,"Merced, City of",1745200,3324.37060426
143,143,143,143,Open Access,Carolo Gabriault Park,"Merced, City of",1745201,3294.65243759
144,144,144,144,Open Access,Carolo Gabriault Park,"Merced, City of",1745202,3264.93942585
145,145,145,145,Open Access,Carolo Gabriault Park,"Merced, City of",1745203,3235.2317110999998
146,146,146,146,Open Access,Carolo Gabriault Park,"Merced, City of",1745204,3205.52944059
147,147,147,147,Open Access,Carolo Gabriault Park,"Merced, City of",1745205,3175.83276708
148,148,148,148,Open Access,Carolo Gabriault Park,"Merced, City of",1745206,3146.14184907
149,149,149,149,Open Access,Carolo Gabriault Park,"Merced, City of",1745207,3116.45685105
150,150,150,150,Open Access,Carolo Gabriault Park,"Merced, City of",1745208,3086.77794383
151,151,151,151,Open Access,Carolo Gabriault Park,"Merced, City of",1745209,3057.10530478
152,152,152,152,Open Access,Carolo Gabriault Park,"Merced, City of",1745210,3027.43911821
153,153,153,153,Open Access,Carolo Gabriault Park,"Merced, City of",1745211,2997.7795757
154,154,154,154,Open Access,Carolo Gabriault Park,"Merced, City of",1745212,2968.12687641
155,155,155,155,Open Access,Carolo Gabriault Park,"Merced, City of",1745213,2938.48122752
156,156,156,156,Open Access,Carolo Gabriault Park,"Merced, City of",1745214,2908.84284458
