,Unnamed: 0,pointid,ripstr_dist,ripstr_flag
34326,34326,200,3770.744424060804,1
34327,34327,201,3762.1621555812603,1
34328,34328,202,3753.800029062552,1
34329,34329,203,3745.659518895464,1
34330,34330,204,3737.742073069567,1
34331,34331,205,3730.0491120220613,1
34332,34332,206,3722.582027490967,1
34333,34333,207,3715.3421813745417,1
34334,34334,208,3708.330904598877,1
34335,34335,209,3701.549495995604,1
34336,34336,210,3694.9992211917297,1
34337,34337,211,3688.681311513599,1
34338,34338,212,3682.596962907001,1
13633,13633,213,3673.263144389367,1
13634,13634,214,3643.5668680528693,1
13635,13635,215,3613.8756088188643,1
13636,13636,216,3584.1894913716883,1
13637,13637,217,3554.5086445390125,1
13638,13638,218,3524.833201464418,1
38379,38379,219,3838.521671310349,1
38380,38380,220,3828.976024673797,1
34339,34339,221,3819.014024284448,1
34340,34340,222,3808.650507854912,1
34341,34341,223,3798.495658058023,1
34342,34342,224,3788.5511528271386,1
34343,34343,225,3778.818652818633,1
34344,34344,226,3769.2998002536506,1
34345,34345,227,3759.996217750013,1
34346,34346,228,3750.909507145776,1
34347,34347,229,3742.041248316052,1
34348,34348,230,3733.3929979846694,1
34349,34349,231,3724.9662885324387,1
34350,34350,232,3716.7626268037775,1
34351,34351,233,3708.783492913479,1
34352,34352,234,3701.0303390555573,1
34353,34353,235,3693.504588316072,1
34354,34354,236,3686.2076334919134,1
34355,34355,237,3679.1408359175707,1
34356,34356,238,3672.305524301924,1
34357,34357,239,3665.702993577168,1
34358,34358,240,3659.334503761961,1
34359,34359,241,3653.201278840928,1
34360,34360,242,3647.3045056626643,1
13639,13639,243,3639.412617373317,1
13640,13640,244,3609.687187768412,1
13641,13641,245,3579.9663388896197,1
13642,13642,246,3550.2501857793163,1
13643,13643,247,3520.538847345588,1
38381,38381,248,3829.9951388163336,1
38382,38382,249,3819.957007580622,1
38383,38383,250,3810.1286482442897,1
38384,38384,251,3800.511688257178,1
34361,34361,252,3790.913783009031,1
34362,34362,253,3780.473235391309,1
34363,34363,254,3770.242493104684,1
34364,34364,255,3760.223268652329,1
34365,34365,256,3750.417257241731,1
34366,34366,257,3740.8261355907453,1
34367,34367,258,3731.451560722845,1
34368,34368,259,3722.295168753164,1
34369,34369,260,3713.358573666881,1
34370,34370,261,3704.643366091737,1
34371,34371,262,3696.151112066401,1
34372,34372,263,3687.883351806546,1
34373,34373,264,3679.841598470519,1
34374,34374,265,3672.027336926599,1
34375,34375,266,3664.442022523816,1
34376,34376,267,3657.087079868433,1
34377,34377,268,3649.96390160818,1
34378,34378,269,3643.073847226404,1
34379,34379,270,3636.418241848313,1
34380,34380,271,3629.998375061532,1
34381,34381,272,3623.815499753202,1
34382,34382,273,3617.870830965878,1
34383,34383,274,3612.1117935708007,1
13644,13644,275,3605.743511547218,1
13645,13645,276,3575.9898860466865,1
13646,13646,277,3546.240411922395,1
13647,13647,278,3516.495194536009,1
38385,38385,279,3822.6269639617735,1
38386,38386,280,3812.097281289549,1
38387,38387,281,3801.775171998304,1
38388,38388,282,3791.662331330452,1
38389,38389,283,3781.760438107872,1
38390,38390,284,3772.071153576693,1
38391,38391,285,3762.596120241045,1
34384,34384,286,3752.324223204826,1
34385,34385,287,3742.016521790343,1
34386,34386,288,3731.921518822988,1
34387,34387,289,3722.040944959669,1
34388,34388,290,3712.376512324477,1
34389,34389,291,3702.929913266064,1
34390,34390,292,3693.7028191048094,1
34391,34391,293,3684.6968788714494,1
34392,34392,294,3675.913718038984,1
34393,34393,295,3667.3549372496477,1
34394,34394,296,3659.0221110388975,1
34395,34395,297,3650.916786558376,1
34396,34396,298,3643.040482299905,1
34397,34397,299,3635.394686822617,1
34398,34398,300,3627.980857485372,1
34399,34399,301,3620.8004191866858,1
34400,34400,302,3613.8547631144042,1
34401,34401,303,3607.145245507429,1
