CUSTOMCODE,LC2030MOD,evt_nick_mod,evt_name_mod,ipcc_soil_mod,soc_mod,total_mass_mod,tot_mass_mod,n20_em_mod,ch4_em_mod,gridcode14
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,NA,22.504536,332.838,3.6,-4.626,0,4865
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Sandy,21.168,332.838,30.744,-3.546,0,3224
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,LAC,36.18,332.838,3.6,-0.107982,0,2542
5,Urban,Urban,California Central Valley Mixed Oak Savanna,LAC,36.18,370.116,14.4,0,0,5723
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Sandy,22.504536,370.116,3.6,-4.626,0,5768
11,Irrigated Pasture,Irrigated Pasture,California Central Valley Mixed Oak Savanna,Wetland,33.39,370.116,5.4,-4.41,0,6969
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,Wetland,39.731292,370.116,3.6,-4.626,0,6330
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,HAC,30.33,370.116,30.744,-3.546,0,1166
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Sandy,21.168,370.116,30.744,-3.546,0,3631
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,LAC,36.18,370.116,185.058,0,0,3549
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Wetland,49.446,370.116,185.058,0,0,3606
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,Wetland,49.446,370.116,5.4,0,-6.6735,4143
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,NA,27.126,370.116,185.058,0,0,3532
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,Sandy,27.126,370.116,185.058,0,0,3411
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,HAC,38.016,370.116,3.6,-0.107982,0,1013
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,NA,22.504536,370.116,3.6,-4.626,0,5033
9,Annual Cropland,Annual Cropland,California Central Valley Mixed Oak Savanna,HAC,31.657374,370.116,3.6,-4.626,0,3066
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,LAC,30.528,370.116,5.22,-1.638,0,4837
7,Orchard,Orchard,California Central Valley Mixed Oak Savanna,Wetland,38.412,370.116,30.744,-3.546,0,3681
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,Sandy,27.126,370.116,5.4,0,-6.6735,3697
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,HAC,38.016,370.116,185.058,0,0,3076
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,LAC,36.18,370.116,5.4,0,-6.6735,5018
3112,Forest,California Central Valley Mixed Oak Savanna,California Central Valley Mixed Oak Savanna,LAC,36.18,377.51832,188.75916,0,0,2960
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,NA,27.126,370.116,5.4,0,-6.6735,4625
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,NA,27.126,370.116,3.6,-0.107982,0,4880
0,Wetland,Wetland,California Central Valley Mixed Oak Savanna,HAC,38.016,370.116,5.4,0,-6.6735,4413
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,NA,21.168,370.116,5.22,-1.638,0,3354
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Sandy,27.126,370.116,3.6,-0.107982,0,2801
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,Wetland,49.446,370.116,3.6,-0.107982,0,4541
2,Grassland,Grassland,California Central Valley Mixed Oak Savanna,LAC,36.18,370.116,3.6,-0.107982,0,3160
8,Vineyard,Vineyard,California Central Valley Mixed Oak Savanna,Sandy,21.168,370.116,5.22,-1.638,0,3386
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,HAC,30.33,26.676,30.744,-3.546,0,5730
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,NA,22.504536,26.676,3.6,-4.626,0,6824
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,Wetland,49.446,26.676,5.4,0,-6.6735,6162
11,Irrigated Pasture,Irrigated Pasture,California Central Valley Riparian Herbaceous,Wetland,33.39,26.676,5.4,-4.41,0,6560
4,Urban,Developed,California Central Valley Riparian Herbaceous,Wetland,49.446,26.676,14.4,0,0,7244
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,HAC,38.016,26.676,5.4,0,-6.6735,6326
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,LAC,30.528,26.676,30.744,-3.546,0,5169
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,Sandy,27.126,26.676,3.6,-0.107982,0,5208
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,Wetland,38.412,26.676,30.744,-3.546,0,5124
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,LAC,36.18,26.676,5.4,0,-6.6735,4936
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,LAC,36.18,26.676,5.4,0,-6.6735,2886
11,Irrigated Pasture,Irrigated Pasture,California Central Valley Riparian Herbaceous,HAC,26.532,26.676,5.4,-4.41,0,5428
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,NA,27.126,26.676,5.4,0,-6.6735,5574
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,HAC,38.016,26.676,3.6,-0.107982,0,4434
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,Sandy,21.168,26.676,30.744,-3.546,0,4281
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,Sandy,22.504536,26.676,3.6,-4.626,0,5069
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,Sandy,27.126,26.676,5.4,0,-6.6735,5076
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,LAC,36.18,26.676,3.6,-0.107982,0,4507
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,NA,27.126,26.676,3.6,-0.107982,0,5431
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,NA,27.126,26.676,5.4,0,-6.6735,4991
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,Wetland,49.446,26.676,5.4,0,-6.6735,4400
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,HAC,31.657374,26.676,3.6,-4.626,0,4748
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,Wetland,49.446,26.676,3.6,-0.107982,0,4401
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,Sandy,27.126,26.676,5.4,0,-6.6735,5348
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,Wetland,39.731292,26.676,3.6,-4.626,0,4586
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,HAC,38.016,26.676,5.4,0,-6.6735,4443
3105,Shrubland,Northern and Central California Dry-Mesic Chaparral,Northern and Central California Dry-Mesic Chaparral,HAC,38.016,293.094,146.547,0,0,7363
3105,Shrubland,Northern and Central California Dry-Mesic Chaparral,Northern and Central California Dry-Mesic Chaparral,NA,27.126,293.094,146.547,0,0,7427
3014,Forest,Central and Southern California Mixed Evergreen Woodland,Central and Southern California Mixed Evergreen Woodland,HAC,38.016,585.26172,292.63086,0,0,6822
3014,Forest,Central and Southern California Mixed Evergreen Woodland,Central and Southern California Mixed Evergreen Woodland,NA,27.126,585.26172,292.63086,0,0,7397
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,HAC,38.016,35.388,5.4,0,-6.6735,6461
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,LAC,36.18,35.388,5.4,0,-6.6735,6460
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,HAC,31.657374,35.388,3.6,-4.626,0,6754
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,Wetland,49.446,35.388,3.6,-0.107982,0,6237
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,Sandy,27.126,35.388,5.4,0,-6.6735,2208
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,NA,27.126,35.388,5.4,0,-6.6735,4138
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,Sandy,21.168,35.388,30.744,-3.546,0,2159
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,Sandy,22.504536,35.388,3.6,-4.626,0,2609
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,HAC,38.016,35.388,3.6,-0.107982,0,4515
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,NA,21.168,35.388,30.744,-3.546,0,5122
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,LAC,30.528,35.388,30.744,-3.546,0,5055
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,Sandy,27.126,35.388,3.6,-0.107982,0,5623
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,HAC,38.016,35.388,5.4,0,-6.6735,5611
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,NA,22.504536,35.388,3.6,-4.626,0,4864
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,Sandy,27.126,35.388,5.4,0,-6.6735,4674
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,Wetland,39.731292,35.388,3.6,-4.626,0,4336
8,Vineyard,Vineyard,California Central Valley Riparian Herbaceous,NA,21.168,35.388,5.22,-1.638,0,4589
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,Wetland,38.412,35.388,30.744,-3.546,0,4231
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,HAC,30.33,35.388,30.744,-3.546,0,4587
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,Wetland,49.446,35.388,5.4,0,-6.6735,4407
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,LAC,31.855176,35.388,3.6,-4.626,0,2613
8,Vineyard,Vineyard,California Central Valley Riparian Herbaceous,LAC,30.528,35.388,5.22,-1.638,0,4887
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,LAC,36.18,35.388,5.4,0,-6.6735,4763
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,HAC,30.33,20.412,30.744,-3.546,0,6738
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,Sandy,27.126,20.412,3.6,-0.107982,0,5709
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,HAC,31.657374,20.412,3.6,-4.626,0,6741
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,LAC,36.18,20.412,5.4,0,-6.6735,6459
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,LAC,36.18,20.412,3.6,-0.107982,0,5959
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,Wetland,49.446,20.412,5.4,0,-6.6735,7219
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,HAC,38.016,20.412,5.4,0,-6.6735,7101
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,HAC,38.016,20.412,3.6,-0.107982,0,911
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,NA,27.126,20.412,5.4,0,-6.6735,3990
3257,Wetland,Wetland,California Central Valley Riparian Herbaceous,Sandy,27.126,20.412,5.4,0,-6.6735,2193
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,Wetland,39.731292,20.412,3.6,-4.626,0,5074
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,Sandy,27.126,20.412,5.4,0,-6.6735,4841
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,NA,21.168,20.412,30.744,-3.546,0,4943
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,Wetland,38.412,20.412,30.744,-3.546,0,4463
7,Orchard,Orchard,California Central Valley Riparian Herbaceous,Sandy,21.168,20.412,30.744,-3.546,0,4367
11,Irrigated Pasture,Irrigated Pasture,California Central Valley Riparian Herbaceous,Wetland,33.39,20.412,5.4,-4.41,0,5422
2,Grassland,Grassland,California Central Valley Riparian Herbaceous,Wetland,49.446,20.412,3.6,-0.107982,0,4474
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,NA,22.504536,20.412,3.6,-4.626,0,5016
9,Annual Cropland,Annual Cropland,California Central Valley Riparian Herbaceous,LAC,31.855176,20.412,3.6,-4.626,0,4779
8,Vineyard,Vineyard,California Central Valley Riparian Herbaceous,Wetland,38.412,20.412,5.22,-1.638,0,4687
0,Wetland,Wetland,California Central Valley Riparian Herbaceous,Wetland,49.446,20.412,5.4,0,-6.6735,4230
