OID_,AREA_HA,CUSTOMCODE,LANDCOVER_,EVT_NICK,EVT_NAME,IPCC_SOIL,SOC,TOTAL_MASS,TOT_MASS,N2O_EMISSI,CH4_EMISSI,gridcode14
,2.25,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,637.254,318.627,0,0,1858
,0.36,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,637.254,3.6,-0.107982,0,3965
,0.36,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,404.028,202.014,0,0,991
,0.45,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,412.10856,206.05428,0,0,253
,0.9,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,26.532,404.028,5.4,-4.41,0,516
,0.63,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,49.446,404.028,3.6,-0.107982,0,94
,0.09,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,31.855176,404.028,3.6,-4.626,0,2229
,0.9,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,404.028,202.014,0,0,307
,0.54,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,404.028,202.014,0,0,1775
,4.05,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,404.028,3.6,-0.107982,0,274
,0.09,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,22.504536,404.028,3.6,-4.626,0,2142
,0.09,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,49.446,412.10856,206.05428,0,0,1639
,1.71,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,404.028,3.6,-0.107982,0,68
,1.08,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,404.028,202.014,0,0,295
,0.81,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,412.10856,206.05428,0,0,433
,0.81,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,412.10856,206.05428,0,0,585
,24.75,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,404.028,3.6,-0.107982,0,50
,181.71,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,404.028,3.6,-0.107982,0,45
,3.15,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,412.10856,206.05428,0,0,294
,1.08,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,313.73568,156.86784,0,0,781
,0.54,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,21.564,307.584,5.4,-4.41,0,1669
,0.27,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,307.584,153.792,0,0,1778
,0.09,0,Wetland,Wetland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,307.584,5.4,0,-6.6735,2277
,8.91,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,307.584,153.792,0,0,33
,12.51,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,307.584,153.792,0,0,238
,43.38,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,307.584,3.6,-0.107982,0,199
,14.58,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,27.126,313.73568,156.86784,0,0,260
,0.27,7,Orchard,Orchard,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,30.528,307.584,30.744,-3.546,0,2164
,41.67,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,49.446,307.584,3.6,-0.107982,0,76
,0.09,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,31.657374,307.584,3.6,-4.626,0,1011
,1193.04,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,307.584,3.6,-0.107982,0,25
,0.99,9,Annual Cropland,Annual Cropland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,31.855176,307.584,3.6,-4.626,0,2123
,0.18,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,49.446,313.73568,156.86784,0,0,761
,4.77,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,26.532,307.584,5.4,-4.41,0,134
,2.43,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,313.73568,156.86784,0,0,192
,2.16,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,307.584,153.792,0,0,189
,4.05,3154,Forest,Inter-Mountain Basins Montane Riparian Forest and Woodland,Inter-Mountain Basins Montane Riparian Forest and Woodland,HAC,38.016,313.73568,156.86784,0,0,251
,0.09,11,Irrigated Pasture,Irrigated Pasture,Inter-Mountain Basins Montane Riparian Forest and Woodland,Wetland,33.39,307.584,5.4,-4.41,0,856
,18.36,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,NA,27.126,307.584,3.6,-0.107982,0,54
,0.27,7,Orchard,Orchard,Inter-Mountain Basins Montane Riparian Forest and Woodland,Sandy,21.168,307.584,30.744,-3.546,0,416
,154.26,2,Grassland,Grassland,Inter-Mountain Basins Montane Riparian Forest and Woodland,LAC,36.18,307.584,3.6,-0.107982,0,48
,0.09,7,Orchard,Orchard,California Lower Montane Foothill Pine Woodland and Savanna,HAC,30.33,356.112,30.744,-3.546,0,3868
,0.09,0,Wetland,Wetland,California Lower Montane Foothill Pine Woodland and Savanna,Wetland,49.446,356.112,5.4,0,-6.6735,5285
,7.65,3265,Forest,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,HAC,38.016,521.86464,260.93232,0,0,7307
,0.9,3265,Forest,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,NA,27.126,521.86464,260.93232,0,0,7399
,1.35,3114,Forest,California Lower Montane Foothill Pine Woodland and Savanna,California Lower Montane Foothill Pine Woodland and Savanna,NA,27.126,460.87272,230.43636,0,0,7404
,0.18,7,Orchard,Orchard,California Lower Montane Foothill Pine Woodland and Savanna,HAC,30.33,451.836,30.744,-3.546,0,463
,0.09,7,Orchard,Orchard,California Lower Montane Foothill Pine Woodland and Savanna,NA,21.168,451.836,30.744,-3.546,0,4069
,0.18,3114,Forest,California Lower Montane Foothill Pine Woodland and Savanna,California Lower Montane Foothill Pine Woodland and Savanna,Sandy,27.126,451.836,225.918,0,0,1760
,1.17,2,Grassland,Grassland,California Lower Montane Foothill Pine Woodland and Savanna,HAC,38.016,451.836,3.6,-0.107982,0,3446
,0.18,11,Irrigated Pasture,Irrigated Pasture,California Lower Montane Foothill Pine Woodland and Savanna,LAC,21.564,451.836,5.4,-4.41,0,947
,0.09,3114,Forest,California Lower Montane Foothill Pine Woodland and Savanna,California Lower Montane Foothill Pine Woodland and Savanna,LAC,36.18,451.836,225.918,0,0,1292
,0.18,7,Orchard,Orchard,California Lower Montane Foothill Pine Woodland and Savanna,Wetland,38.412,451.836,30.744,-3.546,0,1141
,0.36,7,Orchard,Orchard,California Lower Montane Foothill Pine Woodland and Savanna,Sandy,21.168,451.836,30.744,-3.546,0,1822
,9.18,3114,Forest,California Lower Montane Foothill Pine Woodland and Savanna,California Lower Montane Foothill Pine Woodland and Savanna,HAC,38.016,460.87272,230.43636,0,0,1874
,0.27,2,Grassland,Grassland,California Lower Montane Foothill Pine Woodland and Savanna,LAC,36.18,451.836,3.6,-0.107982,0,2272
,0.18,9,Annual Cropland,Annual Cropland,California Lower Montane Foothill Pine Woodland and Savanna,Sandy,22.504536,451.836,3.6,-4.626,0,1821
,0.27,3114,Forest,California Lower Montane Foothill Pine Woodland and Savanna,California Lower Montane Foothill Pine Woodland and Savanna,Sandy,27.126,460.87272,230.43636,0,0,1894
,0.18,2,Grassland,Grassland,California Lower Montane Foothill Pine Woodland and Savanna,Sandy,27.126,451.836,3.6,-0.107982,0,3915
,0.09,3114,Forest,California Lower Montane Foothill Pine Woodland and Savanna,California Lower Montane Foothill Pine Woodland and Savanna,Wetland,49.446,451.836,225.918,0,0,3787
,0.09,2,Grassland,Grassland,California Lower Montane Foothill Pine Woodland and Savanna,NA,27.126,451.836,3.6,-0.107982,0,5089
,1.71,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,1181
,3.6,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,HAC,26.532,0,5.4,-4.41,0,113
,1.26,3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,1645
,0.09,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,Wetland,33.39,0,5.4,-4.41,0,825
,34.02,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,142
,0.09,9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,LAC,31.855176,0,3.6,-4.626,0,2183
,0.18,11,Irrigated Pasture,Irrigated Pasture,NA,LAC,21.564,0,5.4,-4.41,0,6443
,0.09,5,Urban,Urban,NA,NA,27.126,0,14.4,0,0,5795
,0.09,5,Urban,Urban,NA,Wetland,49.446,0,14.4,0,0,7144
,0.36,3110,Shrubland,Southern California Dry-Mesic Chaparral,Southern California Dry-Mesic Chaparral,NA,27.126,0,0,0,0,7583
,0.09,10,Rice,Rice,NA,HAC,31.657374,0,1.8,-0.5148,-7.866,6272
,0.36,5,Urban,Urban,Western Warm Temperate Close Grown Crop,HAC,38.016,0,14.4,0,0,5906
,1.89,5,Urban,Urban,Western Warm Temperate Close Grown Crop,HAC,38.016,0,14.4,0,0,5905
,0.09,8,Vineyard,Vineyard,Western Warm Temperate Wheat,Wetland,38.412,0,5.22,-1.638,0,6876
,7.83,10,Rice,Rice,Western Warm Temperate Close Grown Crop,Wetland,39.731292,0,1.8,-0.5148,-7.866,6879
,1.44,4,Urban,Developed,Western Warm Temperate Wheat,LAC,36.18,0,14.4,0,0,5914
,0.18,10,Rice,Rice,Western Warm Temperate Wheat,HAC,31.657374,0,1.8,-0.5148,-7.866,6169
,0.27,2,Grassland,Grassland,Southern California Coastal Scrub,HAC,38.016,0,3.6,-0.107982,0,7088
,1.44,3218,Barren,Barren,NA,HAC,38.016,0,0,0,0,7157
,0.09,5,Urban,Urban,Western Warm Temperate Close Grown Crop,NA,27.126,0,14.4,0,0,7160
,0.18,5,Urban,Urban,Western Warm Temperate Close Grown Crop,NA,27.126,0,14.4,0,0,7161
,0.09,5,Urban,Urban,Western Warm Temperate Close Grown Crop,NA,27.126,0,14.4,0,0,7162
,0.36,0,Wetland,Wetland,Western Cool Temperate Wheat,Wetland,49.446,0,5.4,0,-6.6735,6372
,11.25,3099,Shrubland,California Xeric Serpentine Chaparral,California Xeric Serpentine Chaparral,NA,27.126,0,0,0,0,7586
,0.09,4,Urban,Developed,Western Warm Temperate Wheat,NA,27.126,0,14.4,0,0,7308
,0.81,3092,Shrubland,Southern California Coastal Scrub,Southern California Coastal Scrub,NA,27.126,0,0,0,0,7106
,10.62,3099,Shrubland,California Xeric Serpentine Chaparral,California Xeric Serpentine Chaparral,HAC,38.016,0,0,0,0,7594
,0.09,2,Grassland,Grassland,Southern California Coastal Scrub,NA,27.126,0,3.6,-0.107982,0,7320
,0.09,5,Urban,Urban,NA,LAC,36.18,0,14.4,0,0,5784
,1.8,8,Vineyard,Vineyard,Western Warm Temperate Wheat,LAC,30.528,0,5.22,-1.638,0,7615
,0.18,2,Grassland,Grassland,Western Cool Temperate Wheat,LAC,36.18,0,3.6,-0.107982,0,7278
,0.36,10,Rice,Rice,Western Warm Temperate Close Grown Crop,HAC,31.657374,0,1.8,-0.5148,-7.866,6149
,0.18,5,Urban,Urban,NA,Wetland,49.446,0,14.4,0,0,7143
,0.36,2,Grassland,Grassland,NA,LAC,36.18,0,3.6,-0.107982,0,7293
,0.27,3968,Grassland,Grassland,Western Cool Temperate Wheat,LAC,36.18,0,3.6,-0.107982,0,7292
,0.63,0,Wetland,Wetland,Western Cool Temperate Close Grown Crop,HAC,38.016,0,5.4,0,-6.6735,6737
,0.09,4,Urban,Developed,NA,LAC,36.18,0,14.4,0,0,7135
,0.36,4,Urban,Developed,Western Warm Temperate Close Grown Crop,NA,27.126,0,14.4,0,0,6910
,0.18,5,Urban,Urban,NA,LAC,36.18,0,14.4,0,0,5793
,0.27,5,Urban,Urban,NA,HAC,38.016,0,14.4,0,0,6111
,0.09,5,Urban,Urban,Western Warm Temperate Close Grown Crop,LAC,36.18,0,14.4,0,0,5829
,0.63,4,Urban,Developed,NA,NA,27.126,0,14.4,0,0,6394
,0.18,3099,Shrubland,California Xeric Serpentine Chaparral,California Xeric Serpentine Chaparral,HAC,38.016,0,0,0,0,7691
,0.09,5,Urban,Urban,Western Warm Temperate Close Grown Crop,Wetland,49.446,0,14.4,0,0,7057
,0.09,9,Annual Cropland,Annual Cropland,Western Cool Temperate Close Grown Crop,Wetland,39.731292,0,3.6,-4.626,0,6967
,10.26,10,Rice,Rice,Western Warm Temperate Wheat,Wetland,39.731292,0,1.8,-0.5148,-7.866,7056
,0.27,3092,Shrubland,Southern California Coastal Scrub,Southern California Coastal Scrub,LAC,36.18,0,0,0,0,7351
,0.09,3965,Annual Cropland,Annual Cropland,Western Cool Temperate Close Grown Crop,NA,22.504536,0,3.6,-4.626,0,7361
