OID_,AREA_HA,CUSTOMCODE,LANDCOVER_,EVT_NICK,EVT_NAME,IPCC_SOIL,SOC,TOTAL_MASS,TOT_MASS,N2O_EMISSI,CH4_EMISSI,gridcode14
,2.97,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Sandy,18.252,0,5.4,-4.41,0,4005
,116.64,5,Urban,Urban,Western Warm Temperate Urban Herbaceous,NA,27.126,0,14.4,0,0,4819
,58.77,4,Urban,Developed,Western Warm Temperate Urban Herbaceous,NA,27.126,0,14.4,0,0,2671
,81.99,5,Urban,Urban,Western Warm Temperate Urban Herbaceous,Wetland,49.446,0,14.4,0,0,4620
,0.9,4,Urban,Developed,Western Cool Temperate Urban Herbaceous,Sandy,27.126,0,14.4,0,0,290
,7.2,4,Urban,Developed,Western Cool Temperate Urban Herbaceous,HAC,38.016,0,14.4,0,0,110
,2.52,4,Urban,Developed,Western Cool Temperate Urban Herbaceous,LAC,36.18,0,14.4,0,0,684
,0.09,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Urban Herbaceous,LAC,21.564,0,5.4,-4.41,0,1712
,5.22,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,1529
,0.18,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,3603
,61.56,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,HAC,31.657374,0,3.6,-4.626,0,1060
,69.75,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,3.6,-4.626,0,1138
,7.92,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,30.744,-3.546,0,1512
,31.95,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,HAC,26.532,0,5.4,-4.41,0,1145
,6.03,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Sandy,21.168,0,30.744,-3.546,0,3348
,2.88,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,3962
,2.97,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,5.4,0,-6.6735,4661
,1.8,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,30.744,-3.546,0,5164
,0.27,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Urban Herbaceous,HAC,26.532,0,5.4,-4.41,0,117
,16.11,9,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,HAC,31.657374,0,3.6,-4.626,0,7509
,0.63,0,Wetland,Wetland,Western Cool Temperate Row Crop,HAC,38.016,0,5.4,0,-6.6735,6739
,1.17,2,Grassland,Grassland,Western Cool Temperate Row Crop,HAC,38.016,0,3.6,-0.107982,0,743
,0.72,7,Orchard,Orchard,Western Cool Temperate Row Crop,HAC,30.33,0,30.744,-3.546,0,484
,0.45,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,Sandy,22.504536,0,3.6,-4.626,0,1519
,2.25,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Row Crop,HAC,26.532,0,5.4,-4.41,0,753
,0.09,7,Orchard,Orchard,Western Cool Temperate Row Crop,LAC,30.528,0,30.744,-3.546,0,2286
,0.81,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,NA,22.504536,0,3.6,-4.626,0,1050
,1.26,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,HAC,31.657374,0,3.6,-4.626,0,658
,0.09,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,Wetland,39.731292,0,3.6,-4.626,0,772
,0.18,11,Irrigated Pasture,Irrigated Pasture,Western Cool Temperate Row Crop,LAC,21.564,0,5.4,-4.41,0,1598
,0.54,3964,Annual Cropland,Annual Cropland,Western Cool Temperate Row Crop,LAC,31.855176,0,3.6,-4.626,0,2376
,0.63,0,Wetland,Wetland,Western Cool Temperate Row Crop,Wetland,49.446,0,5.4,0,-6.6735,5592
,9.54,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,6659
,0.09,10,Rice,Rice,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,1.8,-0.5148,-7.866,7074
,0.9,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,5.4,0,-6.6735,6985
,0.18,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,NA,22.504536,0,3.6,-4.626,0,7269
,0.18,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,14.4,0,0,6544
,0.09,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,5.4,0,-6.6735,7007
,19.44,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,3217
,18.63,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Sandy,22.504536,0,3.6,-4.626,0,2456
,0.45,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,3061
,148.77,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Wetland,33.39,0,5.4,-4.41,0,3390
,7.38,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,LAC,31.855176,0,3.6,-4.626,0,2449
,0.45,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,LAC,30.528,0,30.744,-3.546,0,3069
,1.17,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,LAC,21.564,0,5.4,-4.41,0,2557
,0.09,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,3164
,0.18,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,4792
,0.72,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2604
,48.33,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,5.4,0,-6.6735,5329
,7.29,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,5.4,0,-6.6735,4386
,28.98,2,Grassland,Grassland,California Northern Coastal Grassland,NA,27.126,26.676,3.6,-0.107982,0,6994
,11.52,2,Grassland,Grassland,California Northern Coastal Grassland,HAC,38.016,26.676,3.6,-0.107982,0,6993
,13.5,3131,Grassland,Grassland,California Northern Coastal Grassland,HAC,38.016,26.676,3.6,-0.107982,0,7000
,26.19,3131,Grassland,Grassland,California Northern Coastal Grassland,NA,27.126,26.676,3.6,-0.107982,0,6998
,0.09,3131,Grassland,Grassland,California Northern Coastal Grassland,LAC,36.18,26.676,3.6,-0.107982,0,7634
,0.18,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,NA,27.126,721.35,360.675,0,0,7611
,3.24,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,HAC,38.016,721.35,360.675,0,0,7282
,0.09,9,Annual Cropland,Annual Cropland,California Montane Riparian Systems,LAC,31.855176,660.546,3.6,-4.626,0,6376
,0.09,2,Grassland,Grassland,California Montane Riparian Systems,NA,27.126,660.546,3.6,-0.107982,0,7612
,15.84,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,HAC,38.016,660.546,330.273,0,0,7045
,1.26,3152,Forest,California Montane Riparian Systems,California Montane Riparian Systems,NA,27.126,660.546,330.273,0,0,7340
,0.45,2,Grassland,Grassland,California Montane Riparian Systems,LAC,36.18,660.546,3.6,-0.107982,0,1316
,4.95,2,Grassland,Grassland,California Montane Riparian Systems,HAC,38.016,660.546,3.6,-0.107982,0,4017
,0.27,7,Orchard,Orchard,California Montane Riparian Systems,HAC,30.33,660.546,30.744,-3.546,0,450
,0.09,8,Vineyard,Vineyard,California Montane Riparian Systems,Wetland,38.412,660.546,5.22,-1.638,0,4464
,0.09,2,Grassland,Grassland,California Montane Riparian Systems,Wetland,49.446,660.546,3.6,-0.107982,0,4384
,0.18,11,Irrigated Pasture,Irrigated Pasture,California Montane Riparian Systems,HAC,26.532,660.546,5.4,-4.41,0,2692
,5.85,5,Urban,Urban,Barren,LAC,36.18,7.542,14.4,0,0,5687
,30.33,5,Urban,Urban,Barren,Sandy,27.126,7.542,14.4,0,0,4105
,1224.09,4,Barren,Barren,Barren,HAC,38.016,7.542,3.771,0,0,936
,353.79,4,Barren,Barren,Barren,LAC,36.18,7.542,3.771,0,0,1466
,232.47,4,Barren,Barren,Barren,NA,27.126,7.542,3.771,0,0,1861
,1222.56,4,Barren,Barren,Barren,Wetland,49.446,7.542,3.771,0,0,1465
,1191.69,4,Barren,Barren,Barren,Sandy,27.126,7.542,3.771,0,0,1446
,3.42,11,Irrigated Pasture,Irrigated Pasture,Barren,Sandy,18.252,7.542,5.4,-4.41,0,1717
,7.38,11,Irrigated Pasture,Irrigated Pasture,Barren,Wetland,33.39,7.542,5.4,-4.41,0,1716
,1.53,11,Irrigated Pasture,Irrigated Pasture,Barren,NA,18.252,7.542,5.4,-4.41,0,5457
,7.2,5,Urban,Urban,Barren,Wetland,49.446,7.542,14.4,0,0,5374
,32.76,5,Urban,Urban,Barren,HAC,38.016,7.542,14.4,0,0,5335
,3.6,11,Irrigated Pasture,Irrigated Pasture,Barren,HAC,26.532,7.542,5.4,-4.41,0,2653
,11.34,5,Urban,Urban,Barren,NA,27.126,7.542,14.4,0,0,4872
,2.43,11,Irrigated Pasture,Irrigated Pasture,Barren,LAC,21.564,7.542,5.4,-4.41,0,2657
,0.27,4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,NA,27.126,13.32,14.4,0,0,7310
,0.63,4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,HAC,38.016,13.32,14.4,0,0,7190
,0.27,4,Urban,Developed,Mediterranean California Sparsely Vegetated Systems,LAC,36.18,13.32,14.4,0,0,7187
,0.09,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,3.6,-0.107982,0,6359
,0.09,5,Urban,Urban,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,7172
,0.18,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,NA,21.168,0,30.744,-3.546,0,7266
,19.62,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,1016
,94.68,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Wetland,39.731292,0,3.6,-4.626,0,1139
,0.36,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,621
,7.47,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,LAC,31.855176,0,3.6,-4.626,0,1362
,1.62,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,LAC,30.528,0,30.744,-3.546,0,819
,85.14,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Wetland,33.39,0,5.4,-4.41,0,3573
,6.75,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,1609
,15.93,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,30.744,-3.546,0,632
,32.31,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,HAC,26.532,0,5.4,-4.41,0,1015
,40.68,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,Sandy,22.504536,0,3.6,-4.626,0,1280
,11.52,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,5.4,0,-6.6735,3628
,21.6,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,30.744,-3.546,0,1162
,0.09,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,NA,22.504536,0,3.6,-4.626,0,3972
,2.25,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,3.6,-0.107982,0,1521
,109.89,9,Annual Cropland,Annual Cropland,Western Warm Temperate Pasture and Hayland,HAC,31.657374,0,3.6,-4.626,0,976
,0.45,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,5.4,0,-6.6735,4345
,24.3,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,5.4,0,-6.6735,4395
,0.27,8,Vineyard,Vineyard,Western Warm Temperate Pasture and Hayland,Wetland,38.412,0,5.22,-1.638,0,3785
,0.9,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,LAC,36.18,0,3.6,-0.107982,0,3172
,0.9,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,14.4,0,0,4959
,0.45,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,LAC,21.564,0,5.4,-4.41,0,2820
,20.52,7,Orchard,Orchard,Western Warm Temperate Pasture and Hayland,Sandy,21.168,0,30.744,-3.546,0,3157
,2.16,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2399
,0.45,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,NA,18.252,0,5.4,-4.41,0,4222
,0.54,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,NA,27.126,0,5.4,0,-6.6735,5435
,0.09,5,Urban,Urban,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,4803
,7.83,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Pasture and Hayland,Sandy,18.252,0,5.4,-4.41,0,3843
,7.38,3987,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,3.6,-0.107982,0,2887
,35.55,2,Grassland,Grassland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,2392
,1.53,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,HAC,38.016,0,14.4,0,0,3006
,95.31,0,Wetland,Wetland,Western Warm Temperate Pasture and Hayland,Wetland,49.446,0,5.4,0,-6.6735,4254
,0.09,8,Vineyard,Vineyard,Western Warm Temperate Pasture and Hayland,HAC,30.33,0,5.22,-1.638,0,2724
,0.63,4,Urban,Developed,Western Warm Temperate Pasture and Hayland,Sandy,27.126,0,14.4,0,0,3241
,0.09,8,Vineyard,Vineyard,Western Warm Temperate Developed Ruderal Grassland,Wetland,38.412,0,5.22,-1.638,0,6894
,0.09,5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,14.4,0,0,5701
,0.36,9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,NA,22.504536,0,3.6,-4.626,0,6983
,0.27,10,Rice,Rice,Western Warm Temperate Developed Ruderal Grassland,HAC,31.657374,0,1.8,-0.5148,-7.866,6382
,129.69,7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,HAC,30.33,0,30.744,-3.546,0,203
,5.31,3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,3.6,-0.107982,0,1680
,22.14,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,Wetland,33.39,0,5.4,-4.41,0,3433
,30.51,0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,5.4,0,-6.6735,601
,1.8,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,NA,27.126,0,3.6,-0.107982,0,3544
,11.61,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,792
,0.63,4,Urban,Developed,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,14.4,0,0,4000
,4.14,3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,3.6,-0.107982,0,2267
,12.24,7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,Wetland,38.412,0,30.744,-3.546,0,342
,48.6,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,3.6,-0.107982,0,1099
,28.71,7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,Sandy,21.168,0,30.744,-3.546,0,770
,17.19,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,3.6,-0.107982,0,760
,94.95,9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,HAC,31.657374,0,3.6,-4.626,0,523
,13.32,7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,LAC,30.528,0,30.744,-3.546,0,796
,3.24,0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,NA,27.126,0,5.4,0,-6.6735,4132
,4.23,8,Vineyard,Vineyard,Western Warm Temperate Developed Ruderal Grassland,HAC,30.33,0,5.22,-1.638,0,1237
,4.77,9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,LAC,31.855176,0,3.6,-4.626,0,1496
,11.07,3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,428
,146.34,2,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,427
,0.54,3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,NA,27.126,0,3.6,-0.107982,0,4029
,2.88,3929,Grassland,Grassland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,1493
,0.99,7,Orchard,Orchard,Western Warm Temperate Developed Ruderal Grassland,NA,21.168,0,30.744,-3.546,0,4159
,18.9,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,HAC,26.532,0,5.4,-4.41,0,2913
,33.48,0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,5.4,0,-6.6735,3758
,7.74,4,Urban,Developed,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,14.4,0,0,2679
,0.09,5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,14.4,0,0,5239
,0.27,5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,14.4,0,0,5224
,4.05,4,Urban,Developed,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,14.4,0,0,3880
,0.81,8,Vineyard,Vineyard,Western Warm Temperate Developed Ruderal Grassland,Sandy,21.168,0,5.22,-1.638,0,3052
,0.99,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,LAC,21.564,0,5.4,-4.41,0,2670
,24.57,9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,Sandy,22.504536,0,3.6,-4.626,0,2448
,195.93,0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,5.4,0,-6.6735,2610
,3.24,4,Urban,Developed,Western Warm Temperate Developed Ruderal Grassland,Wetland,49.446,0,14.4,0,0,2614
,3.78,0,Wetland,Wetland,Western Warm Temperate Developed Ruderal Grassland,LAC,36.18,0,5.4,0,-6.6735,3786
,0.63,5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,14.4,0,0,5419
,40.59,9,Annual Cropland,Annual Cropland,Western Warm Temperate Developed Ruderal Grassland,Wetland,39.731292,0,3.6,-4.626,0,2532
,0.18,5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,HAC,38.016,0,14.4,0,0,5418
,0.09,5,Urban,Urban,Western Warm Temperate Developed Ruderal Grassland,Sandy,27.126,0,14.4,0,0,5217
,6.93,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Developed Ruderal Grassland,Sandy,18.252,0,5.4,-4.41,0,2997
,0.09,4,Urban,Developed,Western Cool Temperate Urban Mixed Forest,NA,27.126,0,14.4,0,0,7226
,1.26,4,Urban,Developed,Western Cool Temperate Urban Mixed Forest,HAC,38.016,0,14.4,0,0,6427
,0.18,4,Urban,Developed,Western Cool Temperate Urban Mixed Forest,Sandy,27.126,0,14.4,0,0,2045
,0.27,4,Urban,Developed,Western Cool Temperate Urban Deciduous Forest,NA,27.126,0,14.4,0,0,1727
,0.99,4,Urban,Developed,Western Cool Temperate Urban Deciduous Forest,LAC,36.18,0,14.4,0,0,1776
,1.89,4,Urban,Developed,Western Cool Temperate Urban Deciduous Forest,Sandy,27.126,0,14.4,0,0,1753
,1.53,4,Urban,Developed,Western Cool Temperate Urban Deciduous Forest,HAC,38.016,0,14.4,0,0,1744
,0.45,2,Grassland,Grassland,Western Cool Temperate Pasture and Hayland,Wetland,49.446,0,3.6,-0.107982,0,6412
,0.09,4,Urban,Developed,Western Cool Temperate Urban Shrubland,NA,27.126,0,14.4,0,0,7139
,4.14,4,Urban,Developed,Western Cool Temperate Urban Shrubland,Sandy,27.126,0,14.4,0,0,1904
,3.33,4,Urban,Developed,Western Cool Temperate Urban Shrubland,HAC,38.016,0,14.4,0,0,299
,1.89,4,Urban,Developed,Western Cool Temperate Urban Shrubland,LAC,36.18,0,14.4,0,0,1550
,0.09,10,Rice,Rice,Western Warm Temperate Urban Deciduous Forest,Wetland,39.731292,0,1.8,-0.5148,-7.866,7486
,0.18,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Deciduous Forest,NA,18.252,0,5.4,-4.41,0,4205
,187.74,4,Urban,Developed,Western Warm Temperate Urban Deciduous Forest,HAC,38.016,0,14.4,0,0,413
,93.33,4,Urban,Developed,Western Warm Temperate Urban Deciduous Forest,Wetland,49.446,0,14.4,0,0,1117
,6.66,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Deciduous Forest,HAC,26.532,0,5.4,-4.41,0,1136
,40.77,4,Urban,Developed,Western Warm Temperate Urban Deciduous Forest,LAC,36.18,0,14.4,0,0,1448
,113.94,4,Urban,Developed,Western Warm Temperate Urban Deciduous Forest,Sandy,27.126,0,14.4,0,0,1071
,9.63,5,Urban,Urban,Western Warm Temperate Urban Deciduous Forest,Sandy,27.126,0,14.4,0,0,4002
,1.8,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Deciduous Forest,LAC,21.564,0,5.4,-4.41,0,1272
,5.04,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Deciduous Forest,Sandy,18.252,0,5.4,-4.41,0,1487
,4.41,4,Urban,Developed,Western Warm Temperate Urban Deciduous Forest,NA,27.126,0,14.4,0,0,3840
,5.49,5,Urban,Urban,Western Warm Temperate Urban Deciduous Forest,NA,27.126,0,14.4,0,0,4929
,3.69,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Deciduous Forest,Wetland,33.39,0,5.4,-4.41,0,2626
,21.06,5,Urban,Urban,Western Warm Temperate Urban Deciduous Forest,LAC,36.18,0,14.4,0,0,5627
,14.13,5,Urban,Urban,Western Warm Temperate Urban Deciduous Forest,Wetland,49.446,0,14.4,0,0,5325
,42.57,5,Urban,Urban,Western Warm Temperate Urban Deciduous Forest,HAC,38.016,0,14.4,0,0,4930
,0.09,5,Urban,Urban,Developed-High Intensity,HAC,38.016,0,14.4,0,0,7164
,20.34,5,Urban,Urban,Developed-High Intensity,LAC,36.18,0,14.4,0,0,5648
,5.85,4,Urban,Developed,Developed-High Intensity,LAC,36.18,0,14.4,0,0,6391
,27.63,4,Urban,Developed,Developed-High Intensity,Sandy,27.126,0,14.4,0,0,1902
,102.6,5,Urban,Urban,Developed-High Intensity,Sandy,27.126,0,14.4,0,0,4015
,67.5,5,Urban,Urban,Developed-High Intensity,NA,27.126,0,14.4,0,0,4868
,153.45,5,Urban,Urban,Developed-High Intensity,HAC,38.016,0,14.4,0,0,4726
,0.36,5,Urban,Urban,Developed-High Intensity,Sandy,27.126,0,14.4,0,0,4877
,5.67,4,Urban,Developed,Developed-High Intensity,NA,27.126,0,14.4,0,0,4966
,38.25,5,Urban,Urban,Developed-High Intensity,Wetland,49.446,0,14.4,0,0,5333
,60.57,4,Urban,Developed,Developed-High Intensity,HAC,38.016,0,14.4,0,0,2424
,30.24,4,Urban,Developed,Developed-High Intensity,Wetland,49.446,0,14.4,0,0,5561
,0.27,2,Grassland,Grassland,Mediterranean California Mesic Mixed Conifer Forest and Woodland,LAC,36.18,498.546,3.6,-0.107982,0,2582
,0.09,3028,Forest,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Mediterranean California Mesic Mixed Conifer Forest and Woodland,NA,27.126,498.546,249.273,0,0,2595
,0.18,3028,Forest,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Mediterranean California Mesic Mixed Conifer Forest and Woodland,LAC,36.18,508.51692,254.25846,0,0,2337
,2.16,2,Grassland,Grassland,Mediterranean California Mesic Mixed Conifer Forest and Woodland,HAC,38.016,498.546,3.6,-0.107982,0,2573
,0.09,2,Grassland,Grassland,Mediterranean California Mesic Mixed Conifer Forest and Woodland,NA,27.126,498.546,3.6,-0.107982,0,2572
,0.18,3028,Forest,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Mediterranean California Mesic Mixed Conifer Forest and Woodland,NA,27.126,508.51692,254.25846,0,0,2375
,0.09,0,Wetland,Wetland,Western Cool Temperate Developed Ruderal Grassland,Wetland,49.446,0,5.4,0,-6.6735,6891
,1.44,3924,Grassland,Grassland,Western Cool Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,6857
,0.09,0,Wetland,Wetland,Western Cool Temperate Developed Ruderal Grassland,HAC,38.016,0,5.4,0,-6.6735,7233
,1.26,2,Grassland,Grassland,Western Cool Temperate Developed Ruderal Grassland,LAC,36.18,0,3.6,-0.107982,0,7100
,0.09,0,Wetland,Wetland,Western Cool Temperate Developed Ruderal Grassland,LAC,36.18,0,5.4,0,-6.6735,7242
,0.54,3924,Grassland,Grassland,Western Cool Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,6441
,12.51,2,Grassland,Grassland,Western Cool Temperate Developed Ruderal Grassland,HAC,38.016,0,3.6,-0.107982,0,613
,0.09,7,Orchard,Orchard,Western Cool Temperate Developed Ruderal Grassland,Sandy,21.168,0,30.744,-3.546,0,2112
,0.09,3924,Grassland,Grassland,Western Cool Temperate Developed Ruderal Grassland,NA,27.126,0,3.6,-0.107982,0,4010
,0.09,2,Grassland,Grassland,Western Cool Temperate Developed Ruderal Grassland,Wetland,49.446,0,3.6,-0.107982,0,5377
,0.09,0,Wetland,Wetland,Western Cool Temperate Developed Ruderal Grassland,Wetland,49.446,0,5.4,0,-6.6735,4772
,0.36,10,Rice,Rice,Western Warm Temperate Urban Shrubland,HAC,31.657374,0,1.8,-0.5148,-7.866,6208
,0.36,10,Rice,Rice,Western Warm Temperate Urban Shrubland,Wetland,39.731292,0,1.8,-0.5148,-7.866,6216
,15.93,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Shrubland,HAC,26.532,0,5.4,-4.41,0,1125
,278.37,4,Urban,Developed,Western Warm Temperate Urban Shrubland,Sandy,27.126,0,14.4,0,0,1080
,836.46,4,Urban,Developed,Western Warm Temperate Urban Shrubland,HAC,38.016,0,14.4,0,0,700
,2.16,11,Irrigated Pasture,Irrigated Pasture,Western Warm Temperate Urban Shrubland,LAC,21.564,0,5.4,-4.41,0,1214
,586.62,4,Urban,Developed,Western Warm Temperate Urban Shrubland,Wetland,49.446,0,14.4,0,0,816
,124.56,4,Urban,Developed,Western Warm Temperate Urban Shrubland,LAC,36.18,0,14.4,0,0,809
